발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,,
2012,2012042418,야간,화,1,6,4,1,0,충남,서산시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,916771,1866426,126.5671327,36.79232582,,
2012,2012020911,주간,목,1,1,0,0,0,충남,당진시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,928976,1872878,126.703317,36.85148085,,
2012,2012022018,야간,월,1,2,0,1,0,충남,예산군,차대차,측면충돌,측면충돌,기타,교차로,교차로내,승용차,이륜차,940520,1853711,126.8342936,36.67950347,,
2012,2012032606,주간,월,1,1,0,0,0,충남,금산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,없음,998668,1790066,127.4852008,36.10758147,,
2012,2012022415,주간,금,1,2,0,1,0,충남,예산군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,925775,1852099,126.6694363,36.66393609,,
2012,2012031220,야간,월,1,1,0,0,0,충남,보령시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근,승용차,보행자,919403,1813413,126.6021762,36.31469844,,
2012,2012020411,주간,토,1,2,0,1,0,충남,논산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,963938,1797886,127.0989771,36.17741645,,
2012,2012012006,주간,금,1,1,0,0,0,대전,동구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승합차,승합차,998207,1807794,127.4800384,36.26741037,,
2012,2012012800,야간,토,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,993444,1817957,127.4269261,36.35901393,,
2012,2012011216,주간,목,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,신호위반,단일로,횡단보도상,승합차,보행자,965987,1867188,127.1187146,36.80224582,,
2012,2012032919,야간,목,1,4,0,3,0,충남,금산군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,원동기장치자전거,승용차,999677,1791417,127.4964108,36.11976264,,
2012,2012032419,야간,토,1,1,0,0,0,충남,서천군,차대사람,기타,기타,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,928582,1779242,126.7075244,36.0073768,,
2012,2012051808,주간,금,1,4,0,3,0,충남,청양군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,화물차,건설기계,937162,1830514,126.7986067,36.47018049,,
2012,2012012117,주간,토,1,1,0,0,0,충남,태안군,차량단독,전도전복,전도전복,안전운전 의무 불이행,기타/불명,기타/불명,이륜차,없음,889040,1864392,126.2566673,36.77115425,,
2012,2012051916,주간,토,1,3,1,1,0,충남,보령시,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,915453,1806154,126.5589657,36.24892419,,
2012,2012052621,야간,토,1,1,0,0,0,충남,당진시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,928277,1876559,126.6951256,36.88460669,,
2012,2012053121,야간,목,1,1,0,0,0,충남,당진시,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,935710,1881966,126.7780727,36.93388296,,
2012,2012032409,주간,토,1,2,0,1,0,충남,보령시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,917710,1819594,126.5826657,36.37027252,,
